estado,trimestre,total,motivo_de_uso,tipo_de_arma,year
yucatan,4to,3,personal_militar_en_activo,cortas,2024
zacatecas,4to,1,personal_militar_en_activo,cortas,2024
aguascalientes,4to,0,protección_a_parcela,cortas,2024
baja california,4to,1,protección_a_parcela,cortas,2024
baja california  sur,4to,0,protección_a_parcela,cortas,2024
campeche,4to,0,protección_a_parcela,cortas,2024
chiapas,4to,0,protección_a_parcela,cortas,2024
chihuahua,4to,0,protección_a_parcela,cortas,2024
cd. mex,4to,0,protección_a_parcela,cortas,2024
coahuila,4to,1,protección_a_parcela,cortas,2024
colima,4to,0,protección_a_parcela,cortas,2024
durango,4to,0,protección_a_parcela,cortas,2024
edo. mex.,4to,152,protección_a_parcela,cortas,2024
guanajuato,4to,0,protección_a_parcela,cortas,2024
guerrero,4to,0,protección_a_parcela,cortas,2024
hidalgo,4to,0,protección_a_parcela,cortas,2024
jalisco,4to,0,protección_a_parcela,cortas,2024
michoacan,4to,0,protección_a_parcela,cortas,2024
morelos,4to,0,protección_a_parcela,cortas,2024
nayarit,4to,0,protección_a_parcela,cortas,2024
nuevo leon,4to,21,protección_a_parcela,cortas,2024
oaxaca,4to,1,protección_a_parcela,cortas,2024
puebla,4to,0,protección_a_parcela,cortas,2024
queretaro,4to,0,protección_a_parcela,cortas,2024
q. roo,4to,0,protección_a_parcela,cortas,2024
s.l.p.,4to,0,protección_a_parcela,cortas,2024
sinaloa,4to,0,protección_a_parcela,cortas,2024
sonora,4to,1,protección_a_parcela,cortas,2024
tabasco,4to,0,protección_a_parcela,cortas,2024
tamaulipas,4to,0,protección_a_parcela,cortas,2024
tlaxcala,4to,0,protección_a_parcela,cortas,2024
veracruz,4to,1,protección_a_parcela,cortas,2024
yucatan,4to,0,protección_a_parcela,cortas,2024
zacatecas,4to,0,protección_a_parcela,cortas,2024
aguascalientes,4to,0,protección_a_parcela,largas,2024
baja california,4to,0,protección_a_parcela,largas,2024
baja california  sur,4to,0,protección_a_parcela,largas,2024
campeche,4to,0,protección_a_parcela,largas,2024
chiapas,4to,0,protección_a_parcela,largas,2024
chihuahua,4to,0,protección_a_parcela,largas,2024
cd. mex,4to,0,protección_a_parcela,largas,2024
coahuila,4to,0,protección_a_parcela,largas,2024
colima,4to,0,protección_a_parcela,largas,2024
durango,4to,0,protección_a_parcela,largas,2024
edo. mex.,4to,6,protección_a_parcela,largas,2024
guanajuato,4to,0,protección_a_parcela,largas,2024
guerrero,4to,0,protección_a_parcela,largas,2024
hidalgo,4to,0,protección_a_parcela,largas,2024
jalisco,4to,0,protección_a_parcela,largas,2024
michoacan,4to,5,protección_a_parcela,largas,2024
morelos,4to,0,protección_a_parcela,largas,2024
nayarit,4to,0,protección_a_parcela,largas,2024
nuevo leon,4to,0,protección_a_parcela,largas,2024
oaxaca,4to,0,protección_a_parcela,largas,2024
puebla,4to,0,protección_a_parcela,largas,2024
queretaro,4to,0,protección_a_parcela,largas,2024
q. roo,4to,0,protección_a_parcela,largas,2024
s.l.p.,4to,0,protección_a_parcela,largas,2024
sinaloa,4to,0,protección_a_parcela,largas,2024
sonora,4to,2,protección_a_parcela,largas,2024
tabasco,4to,2,protección_a_parcela,largas,2024
